user_id,movie_name,producer,director,genre,release_year,runtime_minutes,budget_band,mpaa_rating,user_rating,review_date
915,The Silence of the Lambs,Orion Pictures,Jonathan Demme,Drama,1991,118,Medium,R,3,2017-09-30
2419,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Crime,1994,142,High,R,5,2015-12-23
953,Pulp Fiction,Miramax,Quentin Tarantino,Drama,1994,154,High,R,1,2017-06-14
2933,Inception,Warner Bros.,Christopher Nolan,Drama,2010,148,High,PG-13,5,2017-03-25
1840,Schindler's List,Universal Pictures,Steven Spielberg,Animation,1993,195,High,R,4,2017-06-21
1732,The Matrix,Warner Bros.,Lana Wachowski,Drama,1999,136,High,R,2,2022-10-30
1379,The Dark Knight,Warner Bros.,Christopher Nolan,Action,2008,152,High,PG-13,2,2025-09-25
1409,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Sci-Fi,1994,142,High,R,1,2019-01-10
512,The Lord of the Rings: The Return of the King,New Line Cinema,Peter Jackson,Drama,2003,201,High,PG-13,4,2021-01-05
1201,Inside Out,Pixar,Pete Docter,Sci-Fi,2015,95,Medium,PG,1,2021-03-11
788,Back to the Future,Universal Pictures,Robert Zemeckis,Romance,1985,116,Medium,PG,3,2021-06-22
1186,Gladiator,DreamWorks Pictures,Ridley Scott,Drama,2000,155,High,R,2,2023-09-02
1139,The Usual Suspects,Gramercy Pictures,Bryan Singer,Thriller,1995,106,Medium,R,1,2019-04-06
1456,Pulp Fiction,Miramax,Quentin Tarantino,Adventure,1994,154,High,R,2,2019-02-25
2601,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Comedy,1994,142,High,R,1,2021-10-31
1555,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Thriller,1994,142,High,R,2,2020-03-08
1329,The Godfather,Paramount Pictures,Francis Ford Coppola,Animation,1972,175,High,R,2,2022-09-05
132,Parasite,CJ Entertainment,Bong Joon-ho,Drama,2019,132,High,R,2,2024-03-20
865,Saving Private Ryan,DreamWorks/Amblin,Steven Spielberg,Sci-Fi,1998,169,High,R,3,2015-09-29
2685,Joker,Warner Bros.,Todd Phillips,Romance,2019,122,High,R,3,2017-05-20
572,Forrest Gump,Paramount Pictures,Robert Zemeckis,Fantasy,1994,142,High,PG-13,2,2017-12-20
2395,The Godfather,Paramount Pictures,Francis Ford Coppola,Animation,1972,175,High,R,5,2017-12-12
899,Pulp Fiction,Miramax,Quentin Tarantino,Romance,1994,154,High,R,4,2019-01-22
373,The Avengers,Marvel Studios,Joss Whedon,Action,2012,143,High,PG-13,5,2020-07-14
656,Se7en,New Line Cinema,David Fincher,Crime,1995,127,High,R,2,2022-01-14
1577,The Prestige,Warner Bros.,Christopher Nolan,Sci-Fi,2006,130,High,PG-13,5,2015-09-18
2267,The Dark Knight,Warner Bros.,Christopher Nolan,Fantasy,2008,152,High,PG-13,5,2017-10-26
2200,La La Land,Summit Entertainment,Damien Chazelle,Drama,2016,128,High,PG-13,1,2022-08-24
1781,Se7en,New Line Cinema,David Fincher,Adventure,1995,127,High,R,1,2018-04-17
2051,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Drama,1994,142,High,R,3,2025-11-24
2562,The Departed,Warner Bros.,Martin Scorsese,Animation,2006,151,High,R,1,2024-10-05
627,The Godfather,Paramount Pictures,Francis Ford Coppola,Animation,1972,175,High,R,5,2017-03-25
2173,The Dark Knight,Warner Bros.,Christopher Nolan,Action,2008,152,High,PG-13,5,2025-09-10
80,The Truman Show,Paramount Pictures,Peter Weir,Romance,1998,103,Medium,PG,3,2020-06-24
238,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Adventure,1994,142,High,R,3,2017-09-07
2998,The Godfather,Paramount Pictures,Francis Ford Coppola,Romance,1972,175,High,R,1,2015-12-17
516,Forrest Gump,Paramount Pictures,Robert Zemeckis,Crime,1994,142,High,PG-13,5,2023-08-03
1086,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Fantasy,1994,142,High,R,5,2016-11-07
868,Inception,Warner Bros.,Christopher Nolan,Romance,2010,148,High,PG-13,4,2025-10-25
2752,Blade Runner 2049,Warner Bros.,Denis Villeneuve,Thriller,2017,164,High,R,3,2019-06-23
496,Schindler's List,Universal Pictures,Steven Spielberg,Fantasy,1993,195,High,R,5,2020-01-24
2410,The Godfather,Paramount Pictures,Francis Ford Coppola,Crime,1972,175,High,R,3,2015-03-28
291,Fight Club,20th Century Fox,David Fincher,Romance,1999,139,High,R,2,2015-01-30
129,Gladiator,DreamWorks Pictures,Ridley Scott,Drama,2000,155,High,R,2,2015-10-04
1141,La La Land,Summit Entertainment,Damien Chazelle,Crime,2016,128,High,PG-13,5,2017-09-01
2963,The Empire Strikes Back,Lucasfilm,Irvin Kershner,Thriller,1980,124,High,PG,5,2016-06-25
996,"Crouching Tiger, Hidden Dragon",Sony Pictures Classics,Ang Lee,Romance,2000,120,Medium,PG-13,5,2020-04-20
